,eid,title,publicationName,coverDate,refcount,citedby_count,doi
0,2-s2.0-85097946190,"Hosting capacity analysis for rooftop PV in Indonesia: A case study in Gayo Lues district, Aceh","Proceeding - 2nd International Conference on Technology and Policy in Electric Power and Energy, ICT-PEP 2020",2020-09-23,9,4,10.1109/ICT-PEP50916.2020.9249821
0,2-s2.0-85062553883,Harmonic hosting capacity approach in a radial distribution system due to PV integration using OpenDSS,"2018 13th IEEE International Conference on Industry Applications, INDUSCON 2018 - Proceedings",2019-01-25,22,4,10.1109/INDUSCON.2018.8627342
0,2-s2.0-85045966035,Probabilistic analysis of maximum allowable PV connections across bidirectional feeders within a distribution network,"2017 Asian Conference on Energy, Power and Transportation Electrification, ACEPT 2017",2017-12-05,18,4,10.1109/ACEPT.2017.8168540
0,2-s2.0-85073531803,Maximum rooftop photovoltaic hosting capacity with harmonics as limiting factor - Case study for Mauritius,"icABCD 2019 - 2nd International Conference on Advances in Big Data, Computing and Data Communication Systems",2019-08-01,19,4,10.1109/ICABCD.2019.8851002
0,2-s2.0-85049233739,Impact of service and feeder cable upgrade on hosting capacity for single phase connected photovoltaics,"Proceedings of International Conference on Harmonics and Quality of Power, ICHQP",2018-06-08,26,4,10.1109/ICHQP.2018.8378861
0,2-s2.0-85100840747,Combining volt/var volt/watt modes to increase pv hosting capacity in LV distribution networks,"2020 IEEE Electric Power and Energy Conference, EPEC 2020",2020-11-09,14,4,10.1109/EPEC48502.2020.9319927
0,2-s2.0-85090233071,Evaluation Method for Hosting Capacity of PV System in Distribution System with Micro Hydropower Generator,Journal of Electrical Engineering and Technology,2020-11-01,20,4,10.1007/s42835-020-00528-0
0,2-s2.0-85106407447,Generation of alternative battery allocation proposals in distribution systems by the optimization of different economic metrics within a mathematical model,Energies,2021-03-02,40,4,10.3390/en14061726
0,2-s2.0-85090296965,"Maximizing distributed energy resource hosting capacity of power system in South Korea using integrated feeder, distribution, and transmission system",Energies,2020-07-01,18,3,10.3390/en13133367
0,2-s2.0-85074945404,Chance-Constrained DG Hosting Capacity Assessment With Spatially Correlated Wind Speed,"2019 IEEE PES Innovative Smart Grid Technologies Asia, ISGT 2019",2019-05-01,23,3,10.1109/ISGT-Asia.2019.8881689
0,2-s2.0-85123742652,Electric Mobility Hosting Capacity assessment in Terni distribution network,"21st IEEE International Conference on Environment and Electrical Engineering and 2021 5th IEEE Industrial and Commercial Power System Europe, EEEIC / I and CPS Europe 2021 - Proceedings",2021-01-01,26,3,10.1109/EEEIC/ICPSEurope51590.2021.9584815
0,2-s2.0-85048488949,Methods to determine recommended feeder-wide advanced inverter settings for improving distribution system performance,"2017 IEEE 44th Photovoltaic Specialist Conference, PVSC 2017",2017-01-01,20,3,10.1109/PVSC.2017.8366289
0,2-s2.0-85099585571,Optimal Placement and Sizing of PV as DG for Losses Minimization Using PSO Algorithm: A Case in Purworejo Area,"Proceeding - 2020 International Conference on Sustainable Energy Engineering and Application: Sustainable Energy and Transportation: Towards All-Renewable Future, ICSEEA 2020",2020-11-18,26,3,10.1109/ICSEEA50711.2020.9306134
0,2-s2.0-85101982990,The Added Value of Coordinating Inverter Control,IEEE Transactions on Smart Grid,2021-03-01,45,3,10.1109/TSG.2020.3030311
0,2-s2.0-85045216168,Optimal sizing of large-scale wind system with time-sharing wind power curtailment,International Transactions on Electrical Energy Systems,2018-08-01,26,3,10.1002/etep.2582
0,2-s2.0-85087463728,Estimation of distribution system capability for accommodating electric vehicles,Journal of Electrical Systems,2020-06-01,18,3,
0,2-s2.0-85079059453,Exact Distribution Optimal Power Flow (D-OPF) Model using Convex Iteration Technique,IEEE Power and Energy Society General Meeting,2019-08-01,17,3,10.1109/PESGM40551.2019.8974080
0,2-s2.0-85081543735,Optimization Methods for Evaluating PV Hosting Capacity of Distribution Circuits,Conference Record of the IEEE Photovoltaic Specialists Conference,2019-06-01,8,3,10.1109/PVSC40753.2019.8980606
0,2-s2.0-85079056301,Stochastic Hosting Capacity in LV Distribution Networks,IEEE Power and Energy Society General Meeting,2019-08-01,16,3,10.1109/PESGM40551.2019.8973688
0,2-s2.0-85046291919,Distribution feeder hosting capacity analysis,"2017 IEEE PES Innovative Smart Grid Technologies Conference Europe, ISGT-Europe 2017 - Proceedings",2017-07-01,19,3,10.1109/ISGTEurope.2017.8260191
0,2-s2.0-85015167966,Investigation of inverter-based cosφ(P) reactive power control method to mitigate voltage rise,"EEA - Electrotehnica, Electronica, Automatica",2017-01-01,20,3,
0,2-s2.0-85106612820,Assessment of pv hosting capacity in a small distribution system by an improved stochastic analysis method,Energies,2020-11-02,30,3,10.3390/en13225942
0,2-s2.0-85116617557,Optimal placement of renewable energy sources distributed generation in an unbalanced network for modern grid operations,SEST 2021 - 4th International Conference on Smart Energy Systems and Technologies,2021-09-06,15,3,10.1109/SEST50973.2021.9543204
0,2-s2.0-85087954994,Data Driven Assessment of Distributed Photovoltaic Hosting Capacity in Distribution Network 数据驱动的配电网分布式光伏承载力评估技术研究,Dianwang Jishu/Power System Technology,2020-07-05,42,3,10.13335/j.1000-3673.pst.2019.2599
0,2-s2.0-84964474401,DG-demonet smart LV grid-increasing hosting capacity of LV grids by extended planning and voltage control,"Proceedings - 2015 International Symposium on Smart Electric Distribution Systems and Technologies, EDST 2015",2015-11-02,6,3,10.1109/SEDST.2015.7315184
0,2-s2.0-85076725624,Reverse Power Flow Analyzer (RPFA): A tool to assess the impact of PVs in distribution systems,"2019 IEEE Industry Applications Society Annual Meeting, IAS 2019",2019-09-01,13,3,10.1109/IAS.2019.8912354
0,2-s2.0-85076765583,Fast Co-Simulation Methodology to Assess Electric Vehicle Penetration in Distribution Networks,"2019 IEEE Industry Applications Society Annual Meeting, IAS 2019",2019-09-01,14,3,10.1109/IAS.2019.8912316
0,2-s2.0-85075381271,Modelling the technical influence of randomly distributed solar PV uptake on electrical distribution networks,ICCEP 2019 - 7th International Conference on Clean Electrical Power: Renewable Energy Resources Impact,2019-07-01,18,3,10.1109/ICCEP.2019.8890191
0,2-s2.0-84897726105,Enel's large scale demonstration project inside Grid4EU: The challenge of res integration in the MV network,IET Conference Publications,2013-12-01,2,3,10.1049/cp.2013.1085
0,2-s2.0-85059903868,Service Entrance Hosting Capacity,"2018 IEEE 7th World Conference on Photovoltaic Energy Conversion, WCPEC 2018 - A Joint Conference of 45th IEEE PVSC, 28th PVSEC and 34th EU PVSEC",2018-11-26,9,3,10.1109/PVSC.2018.8547340
0,2-s2.0-85124799020,Smart Solar PV Inverters with Advanced: Grid Support Functionalities,Smart Solar PV Inverters with Advanced: Grid Support Functionalities,2021-01-01,692,3,10.1002/9781119214236
0,2-s2.0-85050250778,Hosting capacity evaluation of distributed generation systems with genetic algorithm,SBSE 2018 - 7th Brazilian Electrical Systems Symposium,2018-06-25,6,3,10.1109/SBSE.2018.8395567
0,2-s2.0-85117731468,Performance assessment of hybrid active filtering technique to enhance the hosting capacity of distorted grids for renewable energy systems,International Journal of Energy Research,2022-03-10,71,3,10.1002/er.7345
0,2-s2.0-85060197253,Automated Quantification of PV Hosting Capacity in Distribution Networks under User-Defined Control and Optimisation Procedures,"Proceedings - 2018 IEEE PES Innovative Smart Grid Technologies Conference Europe, ISGT-Europe 2018",2018-12-10,15,3,10.1109/ISGTEurope.2018.8571427
0,2-s2.0-84936972750,Distributed generation hosting capacity calculation of MV distribution feeders in Turkey,IEEE PES Innovative Smart Grid Technologies Conference Europe,2015-01-30,30,3,10.1109/ISGTEurope.2014.7028776
0,2-s2.0-85027499039,Co-simulation strategy of PV hosting capacity applying a stochastic analysis,"2017 3rd IEEE Workshop on Power Electronics and Power Quality Applications, PEPQA 2017 - Proceedings",2017-07-14,18,3,10.1109/PEPQA.2017.7981659
0,2-s2.0-85075883743,Enhancing PV hosting Capacity of a Qatar Remote Farm Network using Inverters Ability to Regulate Reactive Power-a Case Study,"Proceedings of 2019 IEEE PES Innovative Smart Grid Technologies Europe, ISGT-Europe 2019",2019-09-01,16,3,10.1109/ISGTEurope.2019.8905545
0,2-s2.0-85075879969,Increasing der Hosting Capacity in LV Grids in the Czech Republic in Terms of European Project InterFlex,"Proceedings of 2019 IEEE PES Innovative Smart Grid Technologies Europe, ISGT-Europe 2019",2019-09-01,10,3,10.1109/ISGTEurope.2019.8905664
0,2-s2.0-85054012797,Hosting capacity improvement unlocked by control strategies for photovoltaic and battery storage systems,"20th Power Systems Computation Conference, PSCC 2018",2018-08-20,19,3,10.23919/PSCC.2018.8442622
